"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Corbin Burnes","MIL","11","5","0","28","28","167.0","12.61","1.83","0.38",".309","75.7%","48.8%","6.1%","96.5","2.43","2.01","1.63","2.30","7.5","19361"
"Zack Wheeler","PHI","14","10","0","32","32","213.1","10.42","1.94","0.68",".288","75.3%","49.8%","10.8%","97.3","2.78","2.78","2.59","2.84","7.3","10310"
"Nathan Eovaldi","BOS","11","9","0","32","32","182.1","9.63","1.73","0.74",".326","70.4%","42.0%","8.2%","97.1","3.75","3.37","2.79","3.48","5.6","9132"
"Walker Buehler","LAD","16","4","0","33","33","207.2","9.19","2.25","0.82",".247","80.9%","44.7%","10.1%","95.5","2.47","3.08","3.15","3.57","5.5","19374"
"Max Scherzer","- - -","15","4","0","30","30","179.1","11.84","1.81","1.15",".247","84.3%","33.5%","11.7%","94.5","2.46","2.89","2.97","3.24","5.4","3137"
"Gerrit Cole","NYY","16","8","0","30","30","181.1","12.06","2.03","1.19",".305","77.9%","43.1%","13.5%","97.8","3.23","3.15","2.92","2.93","5.3","13125"
"Julio Urias","LAD","20","3","0","32","32","185.2","9.45","1.84","0.92",".272","76.2%","40.2%","9.4%","94.0","2.96","3.12","3.13","3.73","5.0","14765"
"Carlos Rodon","CHW","13","5","0","24","24","132.2","12.55","2.44","0.88",".267","82.2%","37.7%","9.6%","95.4","2.37","2.63","2.65","3.17","4.9","16137"
"Jacob deGrom","NYM","7","2","0","15","15","92.0","14.28","1.08","0.59",".213","87.2%","44.0%","9.4%","99.1","1.08","1.55","1.23","1.61","4.9","10954"
"Kevin Gausman","SFG","14","6","0","33","33","192.0","10.64","2.34","0.94",".274","78.4%","41.9%","11.3%","94.7","2.81","3.49","3.00","3.28","4.8","14107"
"Brandon Woodruff","MIL","9","10","0","30","30","179.1","10.59","2.16","0.90",".261","81.4%","41.5%","12.7%","96.5","2.56","3.29","2.96","3.05","4.7","16162"
"Charlie Morton","ATL","14","6","0","33","33","185.2","10.47","2.81","0.78",".267","71.0%","47.8%","12.1%","95.5","3.34","3.32","3.17","3.31","4.6","4676"
"Aaron Nola","PHI","9","9","0","32","32","180.2","11.11","1.94","1.30",".308","66.8%","40.5%","13.5%","93.1","4.63","3.39","3.37","3.37","4.5","16149"
"Dylan Cease","CHW","13","7","0","32","32","165.2","12.28","3.69","1.09",".309","73.9%","33.3%","11.3%","96.8","3.91","3.60","3.40","3.72","4.4","18525"
"Trevor Rogers","MIA","7","8","0","25","25","133.0","10.62","3.11","0.41",".301","74.9%","40.1%","5.0%","94.6","2.64","3.37","2.55","3.54","4.2","22286"
"Sandy Alcantara","MIA","9","15","0","33","33","205.2","8.80","2.19","0.92",".270","72.4%","53.3%","13.3%","98.1","3.19","3.49","3.42","3.45","4.2","18684"
"Lance Lynn","CHW","11","6","0","28","28","157.0","10.09","2.58","1.03",".263","81.5%","38.1%","10.2%","94.0","2.69","2.59","3.32","3.81","4.2","2520"
"Jose Berrios","- - -","12","9","0","32","32","192.0","9.56","2.11","1.03",".277","72.3%","42.8%","12.6%","94.1","3.52","4.09","3.47","3.59","4.1","14168"
"Frankie Montas","OAK","13","9","0","32","32","187.0","9.96","2.74","0.96",".296","74.5%","42.8%","11.4%","96.6","3.37","3.95","3.37","3.64","4.1","14309"
"Logan Webb","SFG","11","3","0","26","26","147.1","9.59","2.20","0.55",".311","74.7%","60.7%","12.5%","93.3","3.05","","2.73","2.80","4.0","17995"
"Lucas Giolito","CHW","11","9","0","31","31","178.2","10.13","2.62","1.36",".269","77.5%","33.2%","13.8%","94.0","3.53","3.29","3.79","3.75","4.0","15474"
"Robbie Ray","TOR","13","7","0","32","32","193.1","11.54","2.47","1.54",".268","90.1%","37.2%","15.9%","94.6","2.84","3.55","3.69","3.36","3.9","11486"
"Freddy Peralta","MIL","10","5","0","27","27","142.1","11.95","3.35","0.89",".225","78.3%","32.9%","9.6%","93.3","2.85","","3.14","3.67","3.9","18679"
"Max Fried","ATL","14","7","0","28","28","165.2","8.58","2.23","0.81",".278","75.9%","51.8%","12.1%","94.0","3.04","3.49","3.31","3.45","3.8","13743"
"Adam Wainwright","STL","17","7","0","32","32","206.1","7.59","2.18","0.92",".256","78.4%","47.5%","11.7%","89.3","3.05","3.84","3.66","3.87","3.8","2233"
"Eduardo Rodriguez","BOS","12","8","0","31","31","156.2","10.57","2.70","1.09",".364","68.9%","43.4%","12.8%","92.8","4.77","","3.34","3.43","3.8","13164"
"Tyler Mahle","CIN","13","6","0","33","33","180.0","10.50","3.20","1.20",".297","77.6%","42.2%","14.1%","94.2","3.75","3.73","3.80","3.74","3.8","16358"
"Luis Castillo","CIN","8","16","0","33","33","187.2","9.21","3.60","0.91",".318","71.5%","56.6%","15.0%","97.3","3.98","3.62","3.75","3.63","3.7","15689"
"Antonio Senzatela","COL","4","10","0","28","28","156.2","6.03","1.84","0.69",".324","66.8%","51.2%","8.7%","94.7","4.42","4.36","3.61","4.17","3.5","15488"
"German Marquez","COL","12","11","0","32","32","180.0","8.80","3.20","1.05",".293","69.3%","51.6%","15.9%","95.1","4.40","4.01","3.86","3.64","3.4","15038"
"Clayton Kershaw","LAD","10","8","0","22","22","121.2","10.65","1.55","1.11",".289","71.7%","48.5%","14.7%","90.7","3.55","3.17","3.00","2.87","3.4","2036"
"Marcus Stroman","NYM","10","13","0","33","33","179.0","7.94","2.21","0.85",".286","75.5%","50.8%","12.8%","92.9","3.02","4.33","3.49","3.57","3.4","13431"
"Chris Bassitt","OAK","12","4","0","27","27","157.1","9.10","2.23","0.86",".271","78.2%","41.8%","9.2%","93.5","3.15","3.49","3.34","3.93","3.3","12304"
"Jordan Montgomery","NYY","6","7","0","30","30","157.1","9.27","2.92","1.09",".307","73.7%","42.7%","11.8%","92.7","3.83","4.12","3.69","3.93","3.3","16511"
"Sean Manaea","OAK","11","10","0","32","32","179.1","9.74","2.06","1.25",".318","77.3%","42.0%","13.8%","","3.91","4.09","3.65","3.62","3.3","15873"
"Lance McCullers Jr.","HOU","13","5","0","28","28","162.1","10.26","4.21","0.72",".273","78.5%","56.4%","11.7%","93.4","3.16","3.39","3.52","3.69","3.3","14120"
"Joe Musgrove","SDP","11","9","0","31","31","176.1","10.21","2.76","1.12",".273","79.6%","43.5%","14.6%","93.3","3.27","","3.73","3.62","3.2","12970"
"Kyle Gibson","- - -","10","8","0","30","30","177.2","7.70","3.09","0.81",".273","74.8%","51.8%","10.9%","93.1","3.50","","3.78","4.07","3.1","10123"
"Luis Garcia","HOU","11","7","0","28","28","149.1","9.64","2.95","1.08",".289","76.7%","38.9%","11.5%","93.3","3.38","","3.62","3.91","3.1","23735"
"Chris Flexen","SEA","14","6","0","31","31","179.2","6.26","2.00","0.95",".300","76.6%","42.4%","9.1%","92.9","3.61","4.27","3.89","4.56","3.0","13896"
"Anthony DeSclafani","SFG","13","7","0","31","31","167.2","8.16","2.25","1.02",".265","78.3%","44.3%","11.0%","94.2","3.17","3.92","3.62","3.95","3.0","13050"
"Shohei Ohtani","LAA","9","2","0","23","23","130.1","10.77","3.04","1.04",".269","79.4%","45.0%","13.3%","95.7","3.18","3.32","3.51","3.55","3.0","19755"
"Wade Miley","CIN","12","7","0","28","28","163.0","6.90","2.76","0.94",".301","79.4%","49.4%","12.6%","90.1","3.37","4.15","3.97","4.07","2.9","8779"
"Yu Darvish","SDP","8","11","0","30","30","166.1","10.77","2.38","1.52",".274","72.3%","37.0%","14.6%","94.6","4.22","3.29","3.90","3.75","2.9","13074"
"Steven Matz","TOR","14","7","0","29","29","150.2","8.60","2.57","1.08",".321","75.4%","45.5%","12.3%","","3.82","4.06","3.79","3.94","2.8","13361"
"Shane Bieber","CLE","7","4","0","16","16","96.2","12.48","3.07","1.02",".327","80.5%","44.0%","14.7%","92.9","3.17","3.76","3.02","2.91","2.6","19427"
"Tyler Glasnow","TBR","5","2","0","14","14","88.0","12.58","2.76","1.02",".250","82.4%","45.3%","14.3%","97.3","2.66","2.70","2.77","2.70","2.6","14374"
"Shane McClanahan","TBR","10","6","0","25","25","123.1","10.29","2.70","1.02",".328","78.9%","45.5%","14.3%","96.7","3.43","4.57","3.31","3.23","2.5","21483"
"Alex Wood","SFG","10","4","0","26","26","138.2","9.87","2.53","0.91",".305","72.9%","50.8%","14.0%","","3.83","3.87","3.48","3.44","2.5","13781"
"Alex Cobb","LAA","8","3","0","18","18","93.1","9.45","3.18","0.48",".315","65.8%","53.3%","8.2%","93.2","3.76","3.95","2.92","3.38","2.5","6562"
"John Means","BAL","6","9","0","26","26","146.2","8.22","1.60","1.84",".240","80.5%","32.9%","15.0%","92.9","3.62","4.06","4.61","4.36","2.5","16269"
"Hyun-Jin Ryu","TOR","14","10","0","31","31","169.0","7.62","1.97","1.28",".295","70.7%","46.8%","14.1%","89.8","4.37","4.45","4.02","3.94","2.5","14444"
"Merrill Kelly","ARI","7","11","0","27","27","158.0","7.41","2.34","1.20",".301","70.5%","43.9%","12.6%","91.7","4.44","4.54","4.11","4.24","2.4","11156"
"Sonny Gray","CIN","7","9","0","26","26","135.1","10.31","3.33","1.26",".280","72.4%","47.2%","16.5%","92.6","4.19","3.24","3.99","3.66","2.4","12768"
"Ranger Suarez","PHI","3","2","0","12","12","65.2","8.91","2.60","0.14",".295","86.6%","56.7%","2.2%","93.9","1.51","","2.35","3.39","2.4","17277"
"Pablo Lopez","MIA","5","5","0","20","20","102.2","10.08","2.28","0.96",".301","79.7%","47.0%","13.3%","94.0","3.07","3.52","3.29","3.32","2.3","17085"
"Jon Gray","COL","8","12","0","29","29","149.0","9.48","3.50","1.27",".298","69.6%","48.4%","15.1%","95.0","4.59","3.95","4.22","4.04","2.3","14916"
"Mike Minor","KCR","8","12","0","28","28","158.2","8.45","2.33","1.47",".290","66.4%","38.4%","13.4%","91.1","5.05","4.42","4.29","4.32","2.3","10021"
"Logan Gilbert","SEA","6","5","0","24","24","119.1","9.65","2.11","1.28",".293","67.9%","32.3%","10.9%","95.4","4.68","4.09","3.73","4.19","2.2","22250"
"Zach Eflin","PHI","4","7","0","18","18","105.2","8.43","1.36","1.28",".327","72.8%","43.5%","14.2%","93.2","4.17","3.78","3.68","3.61","2.2","13774"
"Blake Snell","SDP","7","6","0","27","27","128.2","11.89","4.83","1.12",".291","74.4%","39.7%","14.3%","95.2","4.20","4.83","3.82","3.74","2.1","13543"
"Nick Pivetta","BOS","9","8","0","30","30","154.0","10.17","3.80","1.40",".290","73.2%","38.3%","13.6%","95.0","4.56","","4.30","4.29","2.1","15454"
"Tyler Anderson","- - -","7","11","0","31","31","167.0","7.22","2.05","1.46",".284","71.3%","35.1%","12.2%","90.8","4.53","4.21","4.37","4.60","2.1","12880"
"Cole Irvin","OAK","10","15","0","32","32","178.1","6.31","2.12","1.16",".302","71.1%","37.6%","10.4%","91.0","4.24","4.99","4.30","4.82","2.1","19244"
"Brady Singer","KCR","5","10","0","27","27","128.1","9.19","3.72","0.98",".350","67.8%","49.9%","13.0%","93.7","4.91","4.57","4.04","4.11","2.0","25377"
"Alek Manoah","TOR","9","2","0","20","20","111.2","10.24","3.22","0.97",".246","76.6%","38.8%","10.7%","93.5","3.22","3.37","3.80","4.17","2.0","26410"
"Jameson Taillon","NYY","8","6","0","29","29","144.1","8.73","2.74","1.50",".272","73.1%","33.2%","12.1%","94.1","4.30","3.92","4.43","4.69","2.0","11674"
"Framber Valdez","HOU","11","6","0","22","22","134.2","8.35","3.88","0.80",".268","78.3%","70.3%","21.4%","92.3","3.14","3.78","4.01","3.58","1.9","17295"
"Matt Harvey","BAL","6","14","0","28","28","127.2","6.70","2.61","1.34",".331","60.4%","42.7%","12.3%","93.6","6.27","5.41","4.60","4.81","1.9","11713"
"Ian Anderson","ATL","9","5","0","24","24","128.1","8.70","3.72","1.12",".261","79.1%","49.3%","15.1%","94.6","3.58","4.30","4.12","3.96","1.9","19951"
"Cal Quantrill","CLE","8","2","0","22","22","121.0","7.36","2.60","1.04",".264","76.6%","42.6%","10.9%","94.5","3.12","","4.05","4.42","1.8","19312"
"Jose Urquidy","HOU","8","3","0","20","20","107.0","7.57","1.60","1.43",".237","77.2%","32.2%","12.1%","92.7","3.62","3.87","4.14","4.38","1.8","18413"
"Tanner Houck","BOS","0","4","0","13","13","58.2","11.20","2.30","0.61",".324","66.3%","49.0%","9.1%","94.7","3.68","","2.64","3.08","1.8","19879"
"Chris Paddack","SDP","7","7","0","22","22","106.1","8.04","1.86","1.18",".306","59.4%","42.7%","12.4%","94.9","5.08","","3.74","3.91","1.8","20099"
"Dane Dunning","TEX","5","10","0","25","25","114.2","8.56","3.38","0.94",".334","72.0%","53.9%","13.6%","","4.55","","3.94","3.93","1.8","19409"
"Trevor Bauer","LAD","8","5","0","17","17","107.2","11.45","3.09","1.59",".220","88.9%","33.5%","16.0%","94.0","2.59","3.39","4.03","3.69","1.8","12703"
"Eric Lauer","MIL","7","5","0","20","20","106.2","8.52","2.95","1.10",".250","79.0%","36.2%","10.9%","92.5","3.04","","3.90","4.28","1.8","19316"
"Patrick Sandoval","LAA","3","6","0","14","14","79.2","9.72","3.50","0.90",".274","74.9%","50.7%","12.9%","93.3","3.39","","3.63","3.70","1.7","19447"
"Kenta Maeda","MIN","6","5","0","21","21","106.1","9.56","2.71","1.35",".316","69.3%","38.4%","14.4%","90.8","4.66","3.73","4.10","3.99","1.7","18498"
"Rich Hill","- - -","7","8","0","31","31","155.2","8.44","3.01","1.21",".274","78.1%","35.2%","11.5%","88.4","3.76","","4.36","4.68","1.6","4806"
"Danny Duffy","KCR","4","3","0","12","12","60.0","9.60","3.30","0.90",".293","83.8%","32.5%","8.2%","93.7","2.55","","3.44","4.28","1.6","3542"
"Madison Bumgarner","ARI","7","10","0","26","26","146.1","7.63","2.40","1.48",".265","67.8%","33.3%","12.3%","90.5","4.67","4.33","4.63","4.85","1.5","5524"
"Michael Wacha","TBR","3","5","0","23","23","107.1","8.55","2.18","1.34",".308","70.3%","39.4%","14.3%","93.9","4.53","","4.05","3.95","1.5","14078"
"Spencer Turnbull","DET","4","2","0","9","9","50.0","7.92","2.16","0.36",".254","70.3%","57.2%","5.3%","94.5","2.88","3.03","2.95","3.77","1.5","16207"
"Kyle Freeland","COL","7","8","0","23","23","120.2","7.83","2.83","1.49",".325","78.9%","45.0%","16.4%","91.5","4.33","4.15","4.63","4.26","1.5","16256"
"Zac Gallen","ARI","4","10","0","23","23","121.1","10.31","3.63","1.41",".286","74.6%","43.7%","15.8%","93.4","4.30","3.92","4.25","3.96","1.5","19291"
"Adrian Houser","MIL","9","6","0","26","26","135.1","6.45","4.06","0.73",".256","73.1%","57.7%","12.9%","94.1","3.33","","4.34","4.40","1.5","12718"
"Corey Kluber","NYY","5","3","0","16","16","80.0","9.23","3.71","0.90",".310","74.4%","42.5%","9.6%","90.3","3.83","4.09","3.84","4.38","1.5","2429"
"Johnny Cueto","SFG","7","7","0","21","21","112.1","7.61","2.32","1.20",".324","74.3%","38.3%","12.4%","91.9","4.09","","4.10","4.26","1.5","6893"
"Matthew Boyd","DET","3","8","0","15","15","78.2","7.67","2.63","1.03",".294","74.2%","38.4%","9.3%","92.2","3.89","4.18","4.10","4.79","1.4","15440"
"Huascar Ynoa","ATL","4","6","0","17","17","90.0","10.00","2.50","1.40",".271","73.5%","47.2%","18.7%","96.6","4.10","","3.94","3.38","1.4","20468"
"Zack Greinke","HOU","11","6","0","29","29","168.2","6.24","1.92","1.55",".264","75.3%","44.1%","17.0%","89.0","4.11","","4.69","4.25","1.4","1943"
"Casey Mize","DET","7","9","0","30","30","150.1","7.06","2.45","1.44",".254","79.5%","48.1%","16.2%","94.1","3.71","4.96","4.71","4.37","1.3","20492"
"Michael Pineda","MIN","8","8","0","21","21","106.1","7.19","1.69","1.44",".295","77.1%","40.1%","13.5%","90.9","3.72","","4.27","4.28","1.3","5372"
"Austin Gomber","COL","9","9","0","23","23","115.1","8.82","3.20","1.56",".264","69.5%","44.3%","16.8%","91.8","4.53","4.09","4.61","4.17","1.3","16561"
"Alec Mills","CHC","4","7","0","20","20","99.1","6.52","2.17","1.18",".322","66.8%","50.9%","14.8%","88.9","4.80","","4.27","4.13","1.3","13834"
"James Kaprielian","OAK","8","5","0","21","21","111.1","9.13","3.23","1.37",".271","80.0%","35.4%","11.7%","93.2","3.80","","4.31","4.62","1.3","18331"
"Kyle Hendricks","CHC","14","7","0","32","32","181.0","6.51","2.19","1.54",".299","73.0%","43.1%","15.6%","87.5","4.77","4.99","4.89","4.61","1.3","12049"
"Joe Ross","WSN","5","9","0","19","19","103.0","9.35","2.88","1.49",".276","73.3%","43.0%","16.2%","93.9","4.02","","4.43","4.08","1.3","12972"
"Kwang-hyun Kim","STL","6","7","0","21","21","96.2","6.89","3.07","1.02",".275","76.2%","45.6%","10.9%","89.2","3.63","","4.27","4.63","1.3","27458"
"Nestor Cortes","NYY","2","3","0","14","14","73.1","9.20","2.09","1.60",".255","87.4%","24.7%","12.0%","90.8","3.07","","4.21","4.50","1.2","17874"
"Andrew Heaney","- - -","8","8","0","23","23","120.0","10.50","3.00","1.88",".291","68.0%","33.0%","17.5%","92.0","5.48","","4.67","4.06","1.2","15423"
"Domingo German","NYY","4","5","0","18","18","91.0","8.70","2.47","1.58",".262","73.6%","41.4%","13.7%","93.4","4.25","","4.41","4.39","1.2","17149"
"Taijuan Walker","NYM","7","11","0","29","29","154.1","8.16","3.21","1.52",".246","69.8%","42.2%","14.9%","94.6","4.43","","4.67","4.48","1.2","11836"
"Erick Fedde","WSN","7","9","0","27","27","131.2","8.61","3.21","1.57",".306","65.9%","49.7%","18.7%","","5.26","","4.69","4.07","1.1","17425"
"Yusei Kikuchi","SEA","7","9","0","29","29","157.0","9.34","3.55","1.55",".289","74.6%","48.4%","20.6%","95.3","4.41","5.16","4.61","3.85","1.1","20633"
